type,nearest_roi_B0,dist_B0,nearest_roi_MNI,dist_MNI
monopolar,424,60.17741151966011,424,54.54460104036007
monopolar,424,58.98418666063406,424,53.12350629551903
monopolar,424,58.91432984236112,424,52.83708527676417
monopolar,424,58.326995982825316,433,51.89980667112354
monopolar,424,57.436588791192335,433,50.68850858429353
monopolar,436,57.59084167887413,433,50.601993256194966
monopolar,436,57.04233522899588,433,49.985464842291904
monopolar,436,57.1549356824513,433,50.02487679644999
monopolar,436,57.4191382445709,433,50.27404426242234
monopolar,436,57.8711747834891,433,50.718001611853765
monopolar,555,58.41495683297417,433,51.543242743350945
monopolar,736,58.34436284542241,555,51.65169815890619
monopolar,736,58.65791142591344,555,52.18669022761219
monopolar,736,58.98851204728178,555,52.803820459477684
monopolar,736,59.522453120098355,555,53.64176618560162
monopolar,736,60.255509944986,555,54.69153896301286
monopolar,736,61.18081452561994,669,55.608595401489005
monopolar,673,62.27302538078731,669,56.56778695394142
monopolar,424,61.70840272099515,418,57.12827979619577
monopolar,433,61.50388424784806,428,56.80486118295632
monopolar,433,61.473736878057885,433,56.709872963179876
monopolar,433,61.74178194821311,433,56.8895031574367
monopolar,433,62.267070555669264,433,57.2821912421304
monopolar,555,62.811612291981774,433,57.985119923132004
monopolar,555,63.1317208600893,433,58.639964490951044
monopolar,555,63.73018688367575,433,59.616232139409824
monopolar,555,64.60853549234989,433,60.77850293072379
monopolar,555,65.47364066152298,433,62.11600732902913
monopolar,555,66.54515806289918,555,62.95733086976253
monopolar,669,67.48547232244708,555,64.07691817975294
monopolar,669,68.77494721527434,555,65.47710220315767
monopolar,669,69.87486886552112,555,66.74399771939613
monopolar,669,71.49934449195858,555,68.48668135728839
monopolar,424,69.29893794641099,433,63.7629993138654
monopolar,424,68.04444703703984,433,62.211842815496155
monopolar,433,67.50096879506764,433,61.44916048653553
monopolar,433,66.81076040700849,433,60.68828234923114
monopolar,436,65.93780879132355,433,59.71352369857267
monopolar,555,65.34648587950416,433,59.38493555187207
monopolar,555,64.82206614919208,433,59.19482094322104
monopolar,555,64.28313409035248,433,59.0050524658694
monopolar,555,64.09439617935593,433,59.34323689772913
monopolar,555,64.05197209618323,555,59.33084657016747
monopolar,736,64.03302549147828,555,59.240323189587286
monopolar,736,63.86595110587729,555,59.3600794064391
monopolar,736,63.880394526727116,555,59.62248952084065
monopolar,736,64.23477530237268,555,60.31865097475866
monopolar,736,64.35692421696601,555,60.79590212809374
monopolar,551,67.6580816003993,424,60.74835146673569
monopolar,551,67.66360437121487,424,60.76762531229971
monopolar,551,67.80044528904135,433,60.967718265488664
monopolar,551,68.32562672880718,433,61.44746696569355
monopolar,551,68.72784121926347,433,61.75659930323237
monopolar,551,69.5621587477149,433,62.55394210999016
monopolar,551,70.38222466110523,433,63.358364226832755
monopolar,551,71.71037854139588,433,64.69178860952911
monopolar,735,72.66388767819879,555,65.07227698695314
monopolar,670,73.80023260376291,555,66.22603839772354
monopolar,551,60.86883235510839,551,52.15463981337781
monopolar,551,59.352953549189856,551,50.454971065249595
monopolar,551,57.178207445969214,551,48.234230290501934
monopolar,551,55.570932723540714,551,46.56165909193071
monopolar,600,54.12409285331332,551,45.15261673738494
monopolar,602,52.63992766187616,551,44.06011034803674
monopolar,602,51.306245961632726,551,43.276717026146684
monopolar,602,50.06520311713071,551,42.66692732851962
monopolar,602,49.03362089776314,735,42.03644909200006
monopolar,602,48.32136987041607,735,40.674457382272635
monopolar,555,51.187954756018875,428,47.19702159084764
monopolar,555,50.78797319374179,438,47.23630765760356
monopolar,555,50.380083142232266,438,46.91632596949358
monopolar,555,50.144383338338464,438,46.77410484545673
monopolar,555,50.23335247554393,438,47.00578849399059
monopolar,669,50.27872843940835,555,46.997176248055084
monopolar,669,50.41354236950396,555,46.9954786668968
monopolar,736,50.56226607718751,555,47.21270290994526
monopolar,736,51.03128207364877,555,47.889209135072925
monopolar,736,51.50207812774458,669,48.4617973459766
monopolar,555,58.47598008374237,438,55.34090878532604
monopolar,555,59.66580653692896,438,56.61864865831555
monopolar,555,59.983947515966605,438,57.04524571145066
monopolar,669,60.86478092396103,438,58.25810401051323
monopolar,669,61.520615650818804,438,59.37447797178329
monopolar,669,62.29488683315647,438,60.66634271562592
monopolar,669,63.288633017910655,445,61.86036130672537
monopolar,669,64.45702873255772,555,62.99289601165163
bipolar,424,59.55106726047419,424,53.80253021132974
bipolar,424,58.92759587744541,424,52.95637391605518
bipolar,424,58.595280570004284,433,52.365367228732396
bipolar,424,57.855556502159075,433,51.266194899758254
bipolar,436,57.51938961473031,433,50.6148282571422
bipolar,436,57.28858184515606,433,50.26200644124746
bipolar,436,57.06540226679512,433,49.96719215895566
bipolar,436,57.26265245609169,433,50.121584412306845
bipolar,436,57.62542184908623,433,50.47347517756233
bipolar,736,58.47094694670429,555,51.88562703009142
bipolar,736,58.79740121766698,555,52.4669788797178
bipolar,736,59.23024396997962,555,53.19567255485876
bipolar,736,59.864522428415874,555,54.140911982776515
bipolar,736,60.69470995790578,669,55.205817785832174
bipolar,736,61.7125111720979,669,56.06292710157493
bipolar,424,61.61733696058701,428,56.97772094244328
bipolar,433,61.46428210686833,433,56.74015975700104
bipolar,433,61.58729941267675,433,56.77740833729556
bipolar,433,61.975107669230354,433,57.05373445489787
bipolar,433,62.61725181995529,433,57.605053274430716
bipolar,555,62.950174118005705,433,58.29003170997593
bipolar,555,63.40751381336628,433,59.104210031942735
bipolar,555,64.14606122044623,433,60.173733117116804
bipolar,555,65.0189591886108,433,61.42594896702859
bipolar,555,65.98365707351508,555,62.540029534241135
bipolar,669,67.01330036234427,555,63.500196955046945
bipolar,669,68.10993436000192,555,64.75625967556151
bipolar,669,69.30228781554597,555,66.08757702469319
bipolar,669,70.67233246205173,555,67.6006299689637
bipolar,424,68.65133032242362,433,62.9668730563937
bipolar,424,67.74865555502573,433,61.80373737889966
bipolar,433,67.13932506897649,433,61.050742771894264
bipolar,436,66.36384465596568,433,60.17328988222266
bipolar,555,65.7012243180006,433,59.5175768281942
bipolar,555,65.06620073490717,433,59.269532124439785
bipolar,555,64.52928238531895,433,59.073928365227246
bipolar,555,64.15922943963118,433,59.14227116242663
bipolar,555,64.05216297091954,555,59.40183189094216
bipolar,555,64.09390285392391,555,59.25758693762136
bipolar,736,63.92058785614622,555,59.26900521455337
bipolar,736,63.857097665602595,555,59.47416923674306
bipolar,736,64.04022568291204,555,59.952776249634624
bipolar,736,64.26978647589632,555,60.530043059143395
bipolar,551,67.63533317486717,424,60.7295797656385
bipolar,551,67.70616423892503,424,60.85043140619505
bipolar,551,68.04203496654321,433,61.18414526043492
bipolar,551,68.50180960399724,433,61.574171393125546
bipolar,551,69.11767757709521,433,62.12475291701369
bipolar,551,69.95576905226822,433,62.937849345604434
bipolar,551,71.0308263037837,433,64.00793100468098
bipolar,551,72.19716077559623,555,64.86820930586688
bipolar,735,73.22861037919463,555,65.63351996930953
bipolar,551,60.08909891896607,551,51.280709481043395
bipolar,551,58.24238595192756,551,49.31772307148997
bipolar,551,56.3506312874957,551,47.37003478788225
bipolar,551,54.85897044609285,551,45.82768231716692
bipolar,600,53.372309074182674,551,44.57779088074211
bipolar,602,51.95152432279109,551,43.639411433028904
bipolar,602,50.660957254256004,551,42.93920508240894
bipolar,602,49.52416279456477,551,42.453714492423096
bipolar,602,48.647592787306074,735,41.324329027260845
bipolar,555,50.95618010718852,428,47.190433625353975
bipolar,555,50.55415627842319,438,47.04404765270286
bipolar,555,50.23179853837841,438,46.81246488687365
bipolar,555,50.149898962084016,438,46.84835582245954
bipolar,669,50.31663422562931,555,47.08487376207729
bipolar,669,50.31032558643176,555,46.957914795705655
bipolar,736,50.49755751877815,555,47.074765858119285
bipolar,736,50.758579018431035,555,47.51077695978832
bipolar,736,51.24890756180376,555,48.16779577205867
bipolar,555,59.04405820426163,438,55.951945735066055
bipolar,555,59.8041599401767,438,56.8103163922432
bipolar,669,60.49301791762228,438,57.62232167606385
bipolar,669,61.172775472335495,438,58.797298102555516
bipolar,669,61.87893816805336,438,59.99291906096735
bipolar,669,62.76932894667404,445,61.28130827481253
bipolar,669,63.851532635503524,555,62.415440108131534
